index,table_file,table_path,hit_reward,alpha,gamma,epsilon,jump_hit_multiplier,jump_miss_penalty,train_iterations,eval_episodes,eval_max_steps,train_seed,eval_seed,avg_steps,avg_reward_per_episode,avg_reward_per_step,hit_rate,avg_hits_per_episode,avg_first_hit,terminated_rate,total_reward,total_steps,total_hits,episodes_with_hit,terminated_episodes
1,001_hr10_a0p1_g0p9_e0p05.npy,hypertables_tight_10k/001_hr10_a0p1_g0p9_e0p05.npy,10.0,0.1,0.9,0.05,2.0,-5.0,10000,100,750,12346,54321,474.51,12.284153332090945,0.025888081035364788,0.61,1.63,162.19672131147541,0.93,1228.4153332090946,47451,163,61,93
2,002_hr10_a0p1_g0p9_e0p1.npy,hypertables_tight_10k/002_hr10_a0p1_g0p9_e0p1.npy,10.0,0.1,0.9,0.1,2.0,-5.0,10000,100,750,12347,54321,587.77,-17.39748118243291,-0.029599130922695796,0.84,2.39,166.8095238095238,0.86,-1739.7481182432907,58777,239,84,86
3,003_hr10_a0p1_g0p95_e0p05.npy,hypertables_tight_10k/003_hr10_a0p1_g0p95_e0p05.npy,10.0,0.1,0.95,0.05,2.0,-5.0,10000,100,750,12348,54321,398.7,12.87469075355254,0.03229167482706933,0.48,1.26,168.08333333333334,0.91,1287.469075355254,39870,126,48,91
4,004_hr10_a0p1_g0p95_e0p1.npy,hypertables_tight_10k/004_hr10_a0p1_g0p95_e0p1.npy,10.0,0.1,0.95,0.1,2.0,-5.0,10000,100,750,12349,54321,634.22,26.633404180036067,0.04199395190948893,0.88,2.59,165.7840909090909,0.84,2663.340418003607,63422,259,88,84
5,005_hr10_a0p2_g0p9_e0p05.npy,hypertables_tight_10k/005_hr10_a0p2_g0p9_e0p05.npy,10.0,0.2,0.9,0.05,2.0,-5.0,10000,100,750,12350,54321,453.34,-119.9769201946208,-0.2646510790899122,0.64,1.71,168.796875,0.9,-11997.69201946208,45334,171,64,90
6,006_hr10_a0p2_g0p9_e0p1.npy,hypertables_tight_10k/006_hr10_a0p2_g0p9_e0p1.npy,10.0,0.2,0.9,0.1,2.0,-5.0,10000,100,750,12351,54321,563.94,-10.206335386491126,-0.018098264685057142,0.79,2.15,159.27848101265823,0.89,-1020.6335386491126,56394,215,79,89
7,007_hr10_a0p2_g0p95_e0p05.npy,hypertables_tight_10k/007_hr10_a0p2_g0p95_e0p05.npy,10.0,0.2,0.95,0.05,2.0,-5.0,10000,100,750,12352,54321,425.58,5.3406158662453205,0.012549029245371776,0.55,1.34,171.23636363636365,0.93,534.0615866245321,42558,134,55,93
8,008_hr10_a0p2_g0p95_e0p1.npy,hypertables_tight_10k/008_hr10_a0p2_g0p95_e0p1.npy,10.0,0.2,0.95,0.1,2.0,-5.0,10000,100,750,12353,54321,429.24,11.777482722641706,0.027437989755478766,0.54,1.37,171.66666666666666,0.9,1177.7482722641705,42924,137,54,90
9,009_hr15_a0p1_g0p9_e0p05.npy,hypertables_tight_10k/009_hr15_a0p1_g0p9_e0p05.npy,15.0,0.1,0.9,0.05,2.0,-5.0,10000,100,750,12354,54321,439.35,21.671446551796876,0.04932615580242831,0.56,1.46,165.55357142857142,0.9,2167.1446551796876,43935,146,56,90
10,010_hr15_a0p1_g0p9_e0p1.npy,hypertables_tight_10k/010_hr15_a0p1_g0p9_e0p1.npy,15.0,0.1,0.9,0.1,2.0,-5.0,10000,100,750,12355,54321,527.97,-24.318321159114834,-0.04606004348564281,0.72,2.06,167.02777777777777,0.86,-2431.8321159114835,52797,206,72,86
11,011_hr15_a0p1_g0p95_e0p05.npy,hypertables_tight_10k/011_hr15_a0p1_g0p95_e0p05.npy,15.0,0.1,0.95,0.05,2.0,-5.0,10000,100,750,12356,54321,458.37,5.664956730118514,0.012358916879635478,0.61,1.63,163.72131147540983,0.91,566.4956730118514,45837,163,61,91
12,012_hr15_a0p1_g0p95_e0p1.npy,hypertables_tight_10k/012_hr15_a0p1_g0p95_e0p1.npy,15.0,0.1,0.95,0.1,2.0,-5.0,10000,100,750,12357,54321,422.8,-60.31367102714903,-0.14265295891000243,0.56,1.46,169.5,0.89,-6031.367102714903,42280,146,56,89
13,013_hr15_a0p2_g0p9_e0p05.npy,hypertables_tight_10k/013_hr15_a0p2_g0p9_e0p05.npy,15.0,0.2,0.9,0.05,2.0,-5.0,10000,100,750,12358,54321,211.04,-9.460706631828282,-0.0448289738050999,0.11,0.18,160.8181818181818,0.98,-946.0706631828283,21104,18,11,98
14,014_hr15_a0p2_g0p9_e0p1.npy,hypertables_tight_10k/014_hr15_a0p2_g0p9_e0p1.npy,15.0,0.2,0.9,0.1,2.0,-5.0,10000,100,750,12359,54321,492.34,-2.602477060655911,-0.00528593463999657,0.68,1.78,170.8235294117647,0.87,-260.2477060655911,49234,178,68,87
